Name,Gender,Grade,Math,Science,English,Total,score,grade
Diya,Male,6,47.0,54.0,15.0,116,38.666666666666664,F
Anika,Male,12,36.0,85.0,71.0,192,64.0,C
Reyansh,Male,2,64.0,37.0,53.0,154,51.333333333333336,C
Rohan,Female,8,61.0,10.0,69.0,140,46.666666666666664,F
Kabir,Female,6,17.0,15.0,38.0,70,23.333333333333332,F
Diya,Male,7,1.0,92.0,95.0,188,62.666666666666664,C
Vihaan,Male,2,4.0,57.0,25.0,86,28.666666666666668,F
Saanvi,Female,8,37.0,61.0,45.0,143,47.666666666666664,F
Reyansh,Male,4,30.0,55.0,82.0,167,55.666666666666664,C
Advika,Female,8,37.0,38.0,91.0,166,55.333333333333336,C
Reyansh,Female,8,26.0,12.0,13.0,51,17.0,F
Isha,Female,10,68.0,73.0,46.0,187,62.333333333333336,C
Kabir,Male,1,27.0,1.0,93.0,121,40.333333333333336,F
Advika,Male,6,11.0,85.0,68.0,164,54.666666666666664,C
Advika,Male,10,69.0,66.0,95.0,230,76.66666666666667,B
Aarav,Female,2,26.0,6.0,57.0,89,29.666666666666668,F
Ishaan,Female,5,80.0,82.0,42.0,204,68.0,C
Navya,Male,12,75.0,22.0,86.0,183,61.0,C
Diya,Male,4,87.0,46.0,20.0,153,51.0,C
Saanvi,Female,3,99.0,4.0,71.0,174,58.0,C
Anika,Male,1,15.0,10.0,59.0,84,28.0,F
Myra,1,11,41.0,51.0,43.0,135,45.0,F
Arjun,1,2,31.0,90.0,34.0,155,51.666666666666664,C
Aditi,Female,12,78.0,21.0,89.0,188,62.666666666666664,C
Aarav,Male,5,70.0,82.0,53.0,205,68.33333333333333,C
Reyansh,Female,2,77.0,61.0,82.0,220,73.33333333333333,C
Aarav,Male,11,30.0,37.0,39.0,106,35.333333333333336,F
Rohan,Male,7,28.0,84.0,77.0,189,63.0,C
Vihaan,Male,10,44.0,13.0,80.0,137,45.666666666666664,F
Ishaan,Male,3,59.0,3.0,32.0,94,31.333333333333332,F
Zara,Female,10,74.0,6.0,17.0,97,32.333333333333336,F
Ananya,Female,9,36.0,47.0,30.0,113,37.666666666666664,F
Shaurya,Female,8,60.0,33.0,7.0,100,33.333333333333336,F
Ishaan,Male,6,38.0,60.0,65.0,163,54.333333333333336,C
Aarav,Male,9,44.0,18.0,18.0,80,26.666666666666668,F
Myra,Male,12,7.0,62.0,55.0,124,41.333333333333336,F
Krishna,Female,3,95.0,38.0,80.0,213,71.0,C
Aryan,Male,3,84.0,51.0,76.0,211,70.33333333333333,C
Aditi,Male,1,86.0,81.0,89.0,256,85.33333333333333,B
Vihaan,Male,6,5.0,18.0,86.0,109,36.333333333333336,F
Advika,Female,1,25.0,70.0,73.0,168,56.0,C
Advika,Male,5,37.0,60.0,77.0,174,58.0,C
Navya,Female,1,70.0,81.0,50.0,201,67.0,C
Rohan,Male,8,44.0,14.0,96.0,154,51.333333333333336,C
Reyansh,Male,1,60.0,23.0,54.0,137,45.666666666666664,F
Advika,Female,1,84.0,13.0,53.0,150,50.0,C
Aryan,Male,9,98.0,43.0,100.0,241,80.33333333333333,B
Rohan,Male,12,13.0,97.0,30.0,140,46.666666666666664,F
Kabir,1,4,11.0,31.0,8.0,50,16.666666666666668,F
Rohan,Female,10,71.0,55.0,46.0,172,57.333333333333336,C
Diya,Female,8,14.0,73.0,50.0,137,45.666666666666664,F
Vihaan,Female,9,98.0,55.0,98.0,251,83.66666666666667,B
Krishna,Female,9,87.0,94.0,30.0,211,70.33333333333333,C
Shaurya,Female,4,71.0,99.0,83.0,253,84.33333333333333,B
Ananya,Male,2,72.0,8.0,29.0,109,36.333333333333336,F
Rohan,Female,12,66.0,70.0,14.0,150,50.0,C
Reyansh,Male,9,87.0,80.0,8.0,175,58.333333333333336,C
Ananya,Female,11,18.0,91.0,50.0,159,53.0,C
Krishna,Male,8,88.0,22.0,51.0,161,53.666666666666664,C
Shaurya,Female,4,38.0,48.0,97.0,183,61.0,C
Shaurya,Male,9,35.0,95.0,13.0,143,47.666666666666664,F
Aryan,Female,6,0.0,9.0,92.0,101,33.666666666666664,F
Rohan,Female,12,85.0,44.0,30.0,159,53.0,C
Reyansh,Male,1,44.0,20.0,35.0,99,33.0,F
Isha,Female,2,57.0,56.0,54.0,167,55.666666666666664,C
Ishaan,1,2,63.0,25.0,61.0,149,49.666666666666664,F
Vihaan,Female,12,95.0,76.0,96.0,267,89.0,B
Aryan,Male,11,6.0,37.0,72.0,115,38.333333333333336,F
Advika,Male,8,27.0,5.0,29.0,61,20.333333333333332,F
Ishaan,Female,1,88.0,62.0,27.0,177,59.0,C
Advika,Male,6,7.0,10.0,13.0,30,10.0,F
Myra,Male,12,63.0,48.0,94.0,205,68.33333333333333,C
Navya,Male,1,47.0,68.0,57.0,172,57.333333333333336,C
Aryan,Male,6,37.0,39.0,51.0,127,42.333333333333336,F
Reyansh,Female,3,90.0,73.0,95.0,258,86.0,B
Shaurya,Male,12,40.0,73.0,47.0,160,53.333333333333336,C
Saanvi,Male,12,93.0,60.0,55.0,208,69.33333333333333,C
Saanvi,Male,9,48.0,31.0,10.0,89,29.666666666666668,F
Diya,Male,11,100.0,35.0,40.0,175,58.333333333333336,C
Navya,Male,11,3.0,28.0,49.0,80,26.666666666666668,F
Advika,Female,1,48.0,31.0,60.0,139,46.333333333333336,F
Krishna,1,3,46.0,13.0,8.0,67,22.333333333333332,F
Reyansh,Male,4,53.0,68.0,59.0,180,60.0,C
Advika,Male,10,66.0,53.0,19.0,138,46.0,F
Ishaan,Male,8,73.0,66.0,72.0,211,70.33333333333333,C
Zara,Male,5,27.0,52.0,74.0,153,51.0,C
Aryan,Male,10,77.0,21.0,86.0,184,61.333333333333336,C
Isha,Male,2,92.0,100.0,24.0,216,72.0,C
Shaurya,Male,5,67.0,44.0,86.0,197,65.66666666666667,C
Shaurya,Male,6,48.0,2.0,78.0,128,42.666666666666664,F
Reyansh,Female,3,32.0,10.0,65.0,107,35.666666666666664,F
Isha,Female,1,30.0,34.0,42.0,106,35.333333333333336,F
Navya,Male,7,51.0,78.0,89.0,218,72.66666666666667,C
Advika,1,5,87.0,75.0,27.0,189,63.0,C
Zara,Female,6,87.0,55.0,4.0,146,48.666666666666664,F
Rohan,Female,3,42.0,59.0,3.0,104,34.666666666666664,F
Advika,Female,9,35.0,11.0,8.0,54,18.0,F
Vihaan,Male,2,4.0,9.0,17.0,30,10.0,F
Saanvi,1,2,54.0,30.0,96.0,180,60.0,C
Isha,Female,6,81.0,27.0,53.0,161,53.666666666666664,C
Ishaan,Female,5,14.0,24.0,84.0,122,40.666666666666664,F
Navya,Female,1,88.0,82.0,28.0,198,66.0,C
Shaurya,Female,6,78.0,71.0,13.0,162,54.0,C
Ananya,Female,2,26.0,15.0,20.0,61,20.333333333333332,F
Aryan,Female,5,1.0,47.0,74.0,122,40.666666666666664,F
Isha,Female,4,39.0,37.0,32.0,108,36.0,F
Zara,Female,6,55.0,100.0,82.0,237,79.0,B
Navya,Male,1,52.0,85.0,89.0,226,75.33333333333333,B
Navya,Male,11,24.0,82.0,85.0,191,63.666666666666664,C
Isha,Female,7,27.0,61.0,31.0,119,39.666666666666664,F
Arjun,Male,4,92.0,17.0,11.0,120,40.0,F
Isha,Female,11,45.0,46.0,32.0,123,41.0,F
Saanvi,Female,9,54.0,18.0,92.0,164,54.666666666666664,C
Vihaan,Female,3,90.0,33.0,53.0,176,58.666666666666664,C
Aditi,Female,3,45.0,32.0,30.0,107,35.666666666666664,F
Vihaan,Male,2,6.0,48.0,9.0,63,21.0,F
Anika,1,3,69.0,97.0,98.0,264,88.0,B
Ananya,Female,1,15.0,39.0,84.0,138,46.0,F
Vihaan,Male,7,41.0,19.0,11.0,71,23.666666666666668,F
Kabir,Female,9,88.0,4.0,36.0,128,42.666666666666664,F
Arjun,Female,3,14.0,56.0,60.0,130,43.333333333333336,F
Reyansh,Female,12,13.0,88.0,21.0,122,40.666666666666664,F
Myra,Female,10,79.0,43.0,9.0,131,43.666666666666664,F
Aditi,Female,2,74.0,52.0,54.0,180,60.0,C
Kabir,Male,3,41.0,58.0,6.0,105,35.0,F
Aditi,1,12,33.0,8.0,1.0,42,14.0,F
Reyansh,Male,8,29.0,48.0,68.0,145,48.333333333333336,F
Navya,Male,9,94.0,59.0,50.0,203,67.66666666666667,C
Aryan,Male,3,19.0,49.0,66.0,134,44.666666666666664,F
Ishaan,Female,12,22.0,73.0,71.0,166,55.333333333333336,C
Advika,1,12,14.0,85.0,54.0,153,51.0,C
Aarav,Female,3,0.0,77.0,77.0,154,51.333333333333336,C
Zara,Male,2,40.0,48.0,41.0,129,43.0,F
Reyansh,Female,12,8.0,36.0,48.0,92,30.666666666666668,F
Rohan,Male,2,3.0,50.0,45.0,98,32.666666666666664,F
Aryan,Female,9,87.0,20.0,56.0,163,54.333333333333336,C
Isha,Female,2,76.0,52.0,24.0,152,50.666666666666664,C
Vihaan,Male,5,27.0,52.0,12.0,91,30.333333333333332,F
Aryan,Female,4,25.0,96.0,82.0,203,67.66666666666667,C
Reyansh,Female,2,12.0,65.0,41.0,118,39.333333333333336,F
Rohan,Female,9,45.0,38.0,50.0,133,44.333333333333336,F
Kabir,Female,9,34.0,25.0,4.0,63,21.0,F
Rohan,Male,2,63.0,24.0,87.0,174,58.0,C
Isha,Male,4,33.0,72.0,65.0,170,56.666666666666664,C
Shaurya,Female,11,97.0,51.0,24.0,172,57.333333333333336,C
Advika,Female,9,52.0,41.0,58.0,151,50.333333333333336,C
Reyansh,Female,7,22.0,26.0,72.0,120,40.0,F
Krishna,Female,10,33.0,19.0,5.0,57,19.0,F
Navya,1,2,7.0,87.0,68.0,162,54.0,C
Shaurya,Female,6,84.0,57.0,27.0,168,56.0,C
Anika,Female,4,74.0,42.0,51.0,167,55.666666666666664,C
Reyansh,Female,3,94.0,7.0,4.0,105,35.0,F
Kabir,Female,8,44.0,28.0,9.0,81,27.0,F
Aryan,Female,1,44.0,40.0,31.0,115,38.333333333333336,F
Navya,1,6,97.0,53.0,4.0,154,51.333333333333336,C
Myra,Female,8,20.0,37.0,46.0,103,34.333333333333336,F
Advika,Male,4,21.0,61.0,100.0,182,60.666666666666664,C
Reyansh,Male,8,29.0,75.0,24.0,128,42.666666666666664,F
Arjun,Female,7,43.0,68.0,46.0,157,52.333333333333336,C
Vihaan,Female,7,8.0,79.0,99.0,186,62.0,C
Myra,Male,6,23.0,9.0,90.0,122,40.666666666666664,F
Aditi,Female,3,24.0,92.0,93.0,209,69.66666666666667,C
Rohan,Female,7,66.0,9.0,47.0,122,40.666666666666664,F
Shaurya,1,12,18.0,29.0,17.0,64,21.333333333333332,F
Kabir,Female,9,81.0,19.0,31.0,131,43.666666666666664,F
Navya,Female,1,77.0,5.0,88.0,170,56.666666666666664,C
Vihaan,Male,5,6.0,84.0,87.0,177,59.0,C
Isha,Female,8,51.0,30.0,30.0,111,37.0,F
Krishna,Male,11,20.0,36.0,15.0,71,23.666666666666668,F
Krishna,Male,4,27.0,9.0,55.0,91,30.333333333333332,F
Aditi,Male,11,44.0,18.0,61.0,123,41.0,F
Rohan,Male,2,90.0,41.0,54.0,185,61.666666666666664,C
Ananya,Male,3,90.0,32.0,49.0,171,57.0,C
Rohan,1,2,30.0,75.0,37.0,142,47.333333333333336,F
Isha,Female,6,15.0,89.0,37.0,141,47.0,F
Vihaan,Female,5,50.0,98.0,99.0,247,82.33333333333333,B
Navya,Female,11,1.0,57.0,18.0,76,25.333333333333332,F
Krishna,Male,7,45.0,64.0,2.0,111,37.0,F
Zara,Female,4,21.0,39.0,21.0,81,27.0,F
Aditi,Male,7,86.0,62.0,93.0,241,80.33333333333333,B
Anika,Male,7,23.0,75.0,70.0,168,56.0,C
Aarav,Female,12,70.0,47.0,21.0,138,46.0,F
Vihaan,Female,7,56.0,2.0,46.0,104,34.666666666666664,F
Diya,Male,12,5.0,10.0,62.0,77,25.666666666666668,F
Navya,Male,9,59.0,51.0,2.0,112,37.333333333333336,F
Zara,Female,6,29.0,17.0,24.0,70,23.333333333333332,F
Aryan,Male,3,24.0,72.0,72.0,168,56.0,C
Krishna,Female,11,10.0,11.0,50.0,71,23.666666666666668,F
Aarav,Female,4,39.0,84.0,54.0,177,59.0,C
Ananya,Female,9,48.0,58.0,31.0,137,45.666666666666664,F
Aditi,Female,9,71.0,92.0,55.0,218,72.66666666666667,C
Advika,Female,12,61.0,3.0,29.0,93,31.0,F
Isha,Male,4,56.0,29.0,10.0,95,31.666666666666668,F
Reyansh,Male,6,66.0,58.0,55.0,179,59.666666666666664,C
Shaurya,Female,7,65.0,29.0,20.0,114,38.0,F
Diya,Male,5,46.0,43.0,15.0,104,34.666666666666664,F
Kabir,Female,1,16.0,84.0,9.0,109,36.333333333333336,F
Aditi,Male,6,74.0,0.0,48.0,122,40.666666666666664,F
Aryan,Male,3,69.0,41.0,88.0,198,66.0,C
Aryan,Male,4,43.0,91.0,19.0,153,51.0,C
Aarav,Female,12,66.0,53.0,19.0,138,46.0,F
Isha,Female,4,9.0,41.0,100.0,150,50.0,C
Shaurya,Female,4,100.0,93.0,81.0,274,91.33333333333333,A
Isha,Female,4,11.0,84.0,83.0,178,59.333333333333336,C
Navya,Male,7,40.0,68.0,82.0,190,63.333333333333336,C
Shaurya,Male,5,64.0,95.0,89.0,248,82.66666666666667,B
Advika,Female,5,71.0,41.0,40.0,152,50.666666666666664,C
Kabir,1,4,96.0,14.0,49.0,159,53.0,C
Krishna,Female,11,54.0,39.0,29.0,122,40.666666666666664,F
Aarav,Female,2,70.0,47.0,15.0,132,44.0,F
Advika,1,7,60.0,54.0,0.0,114,38.0,F
Advika,Female,9,23.0,64.0,92.0,179,59.666666666666664,C
Myra,Female,11,17.0,50.0,81.0,148,49.333333333333336,F
Krishna,Female,1,95.0,95.0,52.0,242,80.66666666666667,B
Myra,1,8,35.0,91.0,58.0,184,61.333333333333336,C
Navya,Male,6,94.0,96.0,94.0,284,94.66666666666667,A
Ishaan,Female,6,32.0,28.0,43.0,103,34.333333333333336,F
Rohan,Male,1,9.0,21.0,91.0,121,40.333333333333336,F
Aarav,1,9,35.0,8.0,59.0,102,34.0,F
Kabir,Female,7,19.0,58.0,8.0,85,28.333333333333332,F
Anika,Male,9,3.0,8.0,36.0,47,15.666666666666666,F
Vihaan,Female,10,99.0,99.0,84.0,282,94.0,A
Aditi,Female,10,89.0,79.0,0.0,168,56.0,C
Zara,Male,3,71.0,36.0,48.0,155,51.666666666666664,C
Advika,Male,2,82.0,24.0,71.0,177,59.0,C
Rohan,Male,3,27.0,67.0,16.0,110,36.666666666666664,F
Myra,Male,2,100.0,82.0,1.0,183,61.0,C
Zara,1,3,98.0,53.0,21.0,172,57.333333333333336,C
Advika,Male,5,86.0,48.0,86.0,220,73.33333333333333,C
Krishna,Male,11,59.0,65.0,44.0,168,56.0,C
Krishna,Male,4,36.0,84.0,34.0,154,51.333333333333336,C
Ananya,Female,10,89.0,27.0,55.0,171,57.0,C
Advika,Male,11,74.0,66.0,66.0,206,68.66666666666667,C
Vihaan,Male,9,63.0,22.0,81.0,166,55.333333333333336,C
Advika,Female,3,57.0,9.0,37.0,103,34.333333333333336,F
Shaurya,1,10,89.0,2.0,74.0,165,55.0,C
Aryan,Male,2,45.0,87.0,6.0,138,46.0,F
Ananya,Male,1,9.0,2.0,48.0,59,19.666666666666668,F
Ishaan,Female,11,20.0,95.0,77.0,192,64.0,C
Advika,Female,2,56.0,11.0,90.0,157,52.333333333333336,C
Krishna,Male,2,57.0,76.0,25.0,158,52.666666666666664,C
Anika,Female,5,63.0,37.0,74.0,174,58.0,C
Rohan,Female,5,93.0,80.0,63.0,236,78.66666666666667,B
Ishaan,Female,9,70.0,2.0,50.0,122,40.666666666666664,F
Navya,1,8,31.0,48.0,22.0,101,33.666666666666664,F
Reyansh,Female,5,66.0,63.0,51.0,180,60.0,C
Krishna,Female,1,55.0,63.0,1.0,119,39.666666666666664,F
Shaurya,Female,10,95.0,60.0,24.0,179,59.666666666666664,C
Vihaan,Female,9,29.0,96.0,15.0,140,46.666666666666664,F
Zara,Female,6,28.0,76.0,95.0,199,66.33333333333333,C
Kabir,Female,6,30.0,33.0,66.0,129,43.0,F
Aditi,Female,11,88.0,61.0,66.0,215,71.66666666666667,C
Navya,Female,12,36.0,2.0,27.0,65,21.666666666666668,F
Saanvi,Female,4,5.0,89.0,99.0,193,64.33333333333333,C
Rohan,Female,2,88.0,42.0,66.0,196,65.33333333333333,C
Krishna,Female,10,24.0,53.0,95.0,172,57.333333333333336,C
Aditi,Female,10,74.0,78.0,25.0,177,59.0,C
Saanvi,Female,1,70.0,72.0,73.0,215,71.66666666666667,C
Aryan,Male,4,81.0,40.0,82.0,203,67.66666666666667,C
Aditi,Female,10,57.0,85.0,85.0,227,75.66666666666667,B
Kabir,Female,1,36.0,32.0,97.0,165,55.0,C
Ishaan,Female,9,33.0,54.0,33.0,120,40.0,F
Krishna,Female,11,69.0,21.0,80.0,170,56.666666666666664,C
Aryan,Male,6,43.0,50.0,10.0,103,34.333333333333336,F
Isha,Male,6,45.0,31.0,63.0,139,46.333333333333336,F
Arjun,Male,9,58.0,89.0,6.0,153,51.0,C
Arjun,Female,6,60.0,5.0,53.0,118,39.333333333333336,F
Ananya,Female,7,60.0,32.0,40.0,132,44.0,F
Vihaan,Male,2,13.0,35.0,82.0,130,43.333333333333336,F
Aditi,Female,8,53.0,90.0,27.0,170,56.666666666666664,C
Anika,Male,1,62.0,22.0,50.0,134,44.666666666666664,F
Navya,Male,2,14.0,70.0,41.0,125,41.666666666666664,F
Saanvi,1,4,21.0,69.0,99.0,189,63.0,C
Anika,Female,6,38.0,96.0,19.0,153,51.0,C
Myra,Male,5,2.0,83.0,72.0,157,52.333333333333336,C
Vihaan,Male,1,18.0,3.0,66.0,87,29.0,F
Saanvi,Female,4,10.0,8.0,64.0,82,27.333333333333332,F
Shaurya,Female,9,53.0,6.0,25.0,84,28.0,F
Reyansh,Female,7,43.0,85.0,81.0,209,69.66666666666667,C
Isha,Female,3,96.0,72.0,75.0,243,81.0,B
Aarav,Male,4,74.0,71.0,10.0,155,51.666666666666664,C
Shaurya,Female,3,38.0,20.0,80.0,138,46.0,F
Reyansh,Female,3,65.0,85.0,72.0,222,74.0,C
Krishna,Male,3,49.0,97.0,4.0,150,50.0,C
Aditi,Female,3,18.0,17.0,4.0,39,13.0,F
Reyansh,Female,11,16.0,53.0,8.0,77,25.666666666666668,F
Ishaan,Male,9,71.0,10.0,83.0,164,54.666666666666664,C
Isha,Male,10,81.0,10.0,12.0,103,34.333333333333336,F
Shaurya,Female,11,5.0,43.0,100.0,148,49.333333333333336,F
Arjun,Male,7,93.0,69.0,24.0,186,62.0,C
Aditi,Female,2,55.0,97.0,67.0,219,73.0,C
Ishaan,Male,5,73.0,92.0,49.0,214,71.33333333333333,C
Navya,Female,9,61.0,35.0,96.0,192,64.0,C
Aditi,Male,2,74.0,72.0,68.0,214,71.33333333333333,C
Aryan,Female,2,94.0,10.0,36.0,140,46.666666666666664,F
Rohan,Female,3,88.0,37.0,76.0,201,67.0,C
Aryan,Male,3,81.0,68.0,20.0,169,56.333333333333336,C
Rohan,Male,4,7.0,59.0,21.0,87,29.0,F
Ananya,Male,10,55.0,67.0,59.0,181,60.333333333333336,C
Diya,Male,9,12.0,41.0,0.0,53,17.666666666666668,F
Vihaan,Female,8,35.0,46.0,6.0,87,29.0,F
Ishaan,Male,8,81.0,44.0,73.0,198,66.0,C
Myra,Male,10,96.0,52.0,93.0,241,80.33333333333333,B
Zara,Male,5,62.0,25.0,66.0,153,51.0,C
Anika,Female,9,93.0,84.0,30.0,207,69.0,C
Aarav,Male,1,65.0,25.0,42.0,132,44.0,F
Aditi,Female,1,44.0,23.0,51.0,118,39.333333333333336,F
Advika,1,8,35.0,39.0,98.0,172,57.333333333333336,C
Reyansh,Male,1,1.0,100.0,24.0,125,41.666666666666664,F
Myra,Male,12,91.0,24.0,25.0,140,46.666666666666664,F
Arjun,Female,4,56.0,26.0,76.0,158,52.666666666666664,C
Arjun,Male,3,50.0,84.0,93.0,227,75.66666666666667,B
Rohan,Female,12,75.0,58.0,89.0,222,74.0,C
Rohan,Male,3,10.0,25.0,35.0,70,23.333333333333332,F
Rohan,1,7,60.0,94.0,17.0,171,57.0,C
Ananya,Male,11,99.0,75.0,6.0,180,60.0,C
Diya,Female,11,89.0,44.0,25.0,158,52.666666666666664,C
Ananya,Male,12,65.0,60.0,32.0,157,52.333333333333336,C
Advika,Male,2,87.0,30.0,86.0,203,67.66666666666667,C
Aryan,Male,6,76.0,17.0,63.0,156,52.0,C
Anika,Female,6,64.0,75.0,94.0,233,77.66666666666667,B
Shaurya,Male,11,32.0,55.0,7.0,94,31.333333333333332,F
Ananya,Male,4,54.0,89.0,11.0,154,51.333333333333336,C
Aarav,Female,10,7.0,13.0,13.0,33,11.0,F
Krishna,Male,9,83.0,79.0,42.0,204,68.0,C
Ananya,1,3,87.0,23.0,44.0,154,51.333333333333336,C
Krishna,Female,6,3.0,19.0,39.0,61,20.333333333333332,F
Navya,1,4,78.0,73.0,21.0,172,57.333333333333336,C
Ishaan,Male,9,82.0,90.0,9.0,181,60.333333333333336,C
Ananya,Female,8,42.0,26.0,76.0,144,48.0,F
Navya,Male,8,60.0,45.0,14.0,119,39.666666666666664,F
Kabir,Male,5,9.0,16.0,11.0,36,12.0,F
Zara,Male,6,45.0,81.0,88.0,214,71.33333333333333,C
Kabir,Female,4,12.0,9.0,14.0,35,11.666666666666666,F
Aarav,Male,11,7.0,41.0,45.0,93,31.0,F
Navya,Female,5,59.0,3.0,93.0,155,51.666666666666664,C
Anika,Female,3,72.0,1.0,56.0,129,43.0,F
Rohan,Female,12,99.0,82.0,60.0,241,80.33333333333333,B
Aryan,Female,4,6.0,25.0,24.0,55,18.333333333333332,F
Reyansh,Male,12,14.0,77.0,58.0,149,49.666666666666664,F
Aditi,Male,5,69.0,3.0,57.0,129,43.0,F
Saanvi,Female,5,93.0,47.0,42.0,182,60.666666666666664,C
Reyansh,Female,8,37.0,6.0,9.0,52,17.333333333333332,F
Kabir,Female,3,27.0,78.0,90.0,195,65.0,C
Aarav,1,2,84.0,64.0,65.0,213,71.0,C
Zara,Male,2,84.0,44.0,70.0,198,66.0,C
Rohan,Female,7,56.0,99.0,60.0,215,71.66666666666667,C
Arjun,1,8,66.0,63.0,56.0,185,61.666666666666664,C
Saanvi,Male,10,89.0,58.0,26.0,173,57.666666666666664,C
Aarav,Male,9,42.0,28.0,76.0,146,48.666666666666664,F
Shaurya,1,5,64.0,95.0,26.0,185,61.666666666666664,C
Vihaan,Female,10,33.0,13.0,63.0,109,36.333333333333336,F
Reyansh,Male,8,56.0,11.0,0.0,67,22.333333333333332,F
Ishaan,1,11,48.0,76.0,67.0,191,63.666666666666664,C
Aryan,Male,12,46.0,84.0,80.0,210,70.0,C
Arjun,Male,10,17.0,41.0,25.0,83,27.666666666666668,F
Diya,Male,7,79.0,87.0,23.0,189,63.0,C
Reyansh,Female,8,44.0,45.0,60.0,149,49.666666666666664,F
Navya,Male,6,44.0,11.0,34.0,89,29.666666666666668,F
Ananya,Female,8,2.0,46.0,71.0,119,39.666666666666664,F
Saanvi,Male,6,21.0,12.0,40.0,73,24.333333333333332,F
Myra,Male,5,48.0,60.0,0.0,108,36.0,F
Aarav,Male,10,46.0,44.0,59.0,149,49.666666666666664,F
Isha,Male,7,9.0,58.0,71.0,138,46.0,F
Vihaan,Male,8,52.0,98.0,37.0,187,62.333333333333336,C
Advika,Male,7,18.0,91.0,28.0,137,45.666666666666664,F
Isha,Male,9,0.0,33.0,5.0,38,12.666666666666666,F
Reyansh,Male,10,14.0,77.0,54.0,145,48.333333333333336,F
Ananya,Male,6,37.0,12.0,50.0,99,33.0,F
Krishna,Male,6,45.0,99.0,24.0,168,56.0,C
Vihaan,Male,3,76.0,29.0,60.0,165,55.0,C
Reyansh,Female,2,14.0,27.0,49.0,90,30.0,F
Diya,Female,7,1.0,53.0,80.0,134,44.666666666666664,F
Ananya,Male,5,76.0,86.0,56.0,218,72.66666666666667,C
Arjun,Male,9,9.0,43.0,1.0,53,17.666666666666668,F
Rohan,Male,3,18.0,33.0,59.0,110,36.666666666666664,F
Arjun,Female,12,59.0,80.0,36.0,175,58.333333333333336,C
Kabir,Male,12,81.0,75.0,10.0,166,55.333333333333336,C
Reyansh,Male,4,85.0,39.0,16.0,140,46.666666666666664,F
Aarav,1,4,11.0,6.0,41.0,58,19.333333333333332,F
Shaurya,Female,2,81.0,23.0,3.0,107,35.666666666666664,F
Aarav,Male,3,18.0,15.0,33.0,66,22.0,F
Aarav,Male,12,63.0,47.0,98.0,208,69.33333333333333,C
Krishna,Female,3,76.0,87.0,46.0,209,69.66666666666667,C
Ishaan,Female,4,69.0,0.0,3.0,72,24.0,F
Navya,Female,1,92.0,86.0,62.0,240,80.0,B
Aarav,Male,3,77.0,84.0,41.0,202,67.33333333333333,C
Aryan,1,5,42.0,3.0,50.0,95,31.666666666666668,F
Kabir,Male,6,87.0,90.0,84.0,261,87.0,B
Reyansh,Male,5,97.0,5.0,41.0,143,47.666666666666664,F
