Name,Gender,Grade,Math,Science,English,Total,score,grade,passed,score_category,rank
Vihaan,Female,5,50.0,98.0,99.0,247,82.33333333333333,B,True,High,26
Diya,Male,11,97.0,97.0,51.0,245,81.66666666666667,B,True,High,28
Aryan,Male,1,87.0,61.0,97.0,245,81.66666666666667,B,True,High,28
Aditi,Male,10,93.0,77.0,74.0,244,81.33333333333333,B,True,High,30
Ananya,Male,9,58.0,87.0,98.0,243,81.0,B,True,High,31
Isha,Female,3,96.0,72.0,75.0,243,81.0,B,True,High,31
Krishna,Female,1,95.0,95.0,52.0,242,80.66666666666667,B,True,High,33
Myra,Female,3,74.0,97.0,70.0,241,80.33333333333333,B,True,High,36
Aditi,Male,7,86.0,62.0,93.0,241,80.33333333333333,B,True,High,36
Aryan,Male,9,98.0,43.0,100.0,241,80.33333333333333,B,True,High,36
Rohan,Female,12,99.0,82.0,60.0,241,80.33333333333333,B,True,High,36
Aarav,Female,10,55.0,92.0,94.0,241,80.33333333333333,B,True,High,36
Myra,Male,10,96.0,52.0,93.0,241,80.33333333333333,B,True,High,36
Anika,Male,2,74.0,69.0,97.0,240,80.0,B,True,High,41
Navya,Female,1,92.0,86.0,62.0,240,80.0,B,True,High,41
Myra,Female,6,93.0,60.0,87.0,240,80.0,B,True,High,41
Myra,Female,12,95.0,98.0,46.0,239,79.66666666666667,B,True,Medium,43
Zara,Female,6,55.0,100.0,82.0,237,79.0,B,True,Medium,44
Rohan,Female,5,93.0,80.0,63.0,236,78.66666666666667,B,True,Medium,45
Aryan,Male,12,95.0,72.0,69.0,236,78.66666666666667,B,True,Medium,45
Advika,Female,12,91.0,70.0,74.0,235,78.33333333333333,B,True,Medium,48
Vihaan,Female,2,78.0,91.0,66.0,235,78.33333333333333,B,True,Medium,48
Zara,Female,4,61.0,98.0,76.0,235,78.33333333333333,B,True,Medium,48
Anika,Female,6,64.0,75.0,94.0,233,77.66666666666667,B,True,Medium,50
Aditi,Male,1,83.0,95.0,53.0,231,77.0,B,True,Medium,52
Aarav,Female,5,82.0,98.0,51.0,231,77.0,B,True,Medium,52
Advika,Female,11,43.0,96.0,92.0,231,77.0,B,True,Medium,52
Advika,Male,10,69.0,66.0,95.0,230,76.66666666666667,B,True,Medium,54
Aarav,Female,5,70.0,70.0,89.0,229,76.33333333333333,B,True,Medium,56
Rohan,Female,11,52.0,85.0,92.0,229,76.33333333333333,B,True,Medium,56
Myra,Female,1,73.0,96.0,60.0,229,76.33333333333333,B,True,Medium,56
Vihaan,Female,12,86.0,46.0,96.0,228,76.0,B,True,Medium,59
Krishna,Male,8,94.0,94.0,40.0,228,76.0,B,True,Medium,59
Ananya,1,4,89.0,39.0,100.0,228,76.0,B,True,Medium,59
Ishaan,Female,5,50.0,96.0,81.0,227,75.66666666666667,B,True,Medium,62
Arjun,Male,3,50.0,84.0,93.0,227,75.66666666666667,B,True,Medium,62
Aditi,Female,10,57.0,85.0,85.0,227,75.66666666666667,B,True,Medium,62
Myra,Female,1,99.0,66.0,61.0,226,75.33333333333333,B,True,Medium,65
Aditi,Female,6,76.0,63.0,87.0,226,75.33333333333333,B,True,Medium,65
Navya,Male,1,52.0,85.0,89.0,226,75.33333333333333,B,True,Medium,65
Myra,Male,4,98.0,70.0,57.0,225,75.0,B,True,Medium,67
Aarav,Female,8,84.0,100.0,41.0,225,75.0,B,True,Medium,67
Anika,Male,2,98.0,88.0,38.0,224,74.66666666666667,C,True,Medium,69
Vihaan,Male,1,94.0,64.0,65.0,223,74.33333333333333,C,True,Medium,71
Myra,1,2,91.0,64.0,68.0,223,74.33333333333333,C,True,Medium,71
Ishaan,Female,2,74.0,52.0,97.0,223,74.33333333333333,C,True,Medium,71
Reyansh,Female,3,65.0,85.0,72.0,222,74.0,C,True,Medium,74
Aarav,1,8,99.0,79.0,44.0,222,74.0,C,True,Medium,74
Rohan,Female,12,75.0,58.0,89.0,222,74.0,C,True,Medium,74
Reyansh,Female,12,70.0,92.0,59.0,221,73.66666666666667,C,True,Medium,76
Reyansh,Female,2,77.0,61.0,82.0,220,73.33333333333333,C,True,Medium,78
Isha,1,9,43.0,97.0,80.0,220,73.33333333333333,C,True,Medium,78
Advika,Male,5,86.0,48.0,86.0,220,73.33333333333333,C,True,Medium,78
Diya,Female,3,74.0,95.0,50.0,219,73.0,C,True,Medium,81
Aditi,Female,2,55.0,97.0,67.0,219,73.0,C,True,Medium,81
Aryan,Male,1,83.0,95.0,41.0,219,73.0,C,True,Medium,81
Aditi,Female,9,71.0,92.0,55.0,218,72.66666666666667,C,True,Medium,84
Ananya,Male,5,76.0,86.0,56.0,218,72.66666666666667,C,True,Medium,84
Navya,Female,4,61.0,80.0,77.0,218,72.66666666666667,C,True,Medium,84
Navya,Male,7,51.0,78.0,89.0,218,72.66666666666667,C,True,Medium,84
Diya,Female,12,63.0,86.0,68.0,217,72.33333333333333,C,True,Medium,87
Myra,Female,9,32.0,94.0,91.0,217,72.33333333333333,C,True,Medium,87
Isha,Male,2,92.0,100.0,24.0,216,72.0,C,True,Medium,89
Rohan,Female,7,56.0,99.0,60.0,215,71.66666666666667,C,True,Medium,91
Zara,Male,11,63.0,66.0,86.0,215,71.66666666666667,C,True,Medium,91
Aditi,Female,11,88.0,61.0,66.0,215,71.66666666666667,C,True,Medium,91
Saanvi,Female,1,70.0,72.0,73.0,215,71.66666666666667,C,True,Medium,91
Aditi,Male,10,25.0,90.0,99.0,214,71.33333333333333,C,True,Medium,97
Rohan,Female,8,60.0,62.0,92.0,214,71.33333333333333,C,True,Medium,97
Aditi,Male,2,74.0,72.0,68.0,214,71.33333333333333,C,True,Medium,97
Ishaan,Male,5,73.0,92.0,49.0,214,71.33333333333333,C,True,Medium,97
Isha,Male,12,23.0,99.0,92.0,214,71.33333333333333,C,True,Medium,97
Arjun,Female,9,82.0,100.0,32.0,214,71.33333333333333,C,True,Medium,97
Zara,Male,6,45.0,81.0,88.0,214,71.33333333333333,C,True,Medium,97
Ananya,Male,7,73.0,67.0,73.0,213,71.0,C,True,Medium,102
Krishna,Female,3,95.0,38.0,80.0,213,71.0,C,True,Medium,102
Aarav,1,2,84.0,64.0,65.0,213,71.0,C,True,Medium,102
Arjun,Female,5,89.0,27.0,97.0,213,71.0,C,True,Medium,102
Aryan,Female,7,55.0,93.0,64.0,212,70.66666666666667,C,True,Medium,106
Aditi,Male,3,100.0,29.0,83.0,212,70.66666666666667,C,True,Medium,106
Krishna,Female,2,94.0,26.0,92.0,212,70.66666666666667,C,True,Medium,106
Vihaan,Male,12,96.0,46.0,69.0,211,70.33333333333333,C,True,Medium,110
Ishaan,Male,8,73.0,66.0,72.0,211,70.33333333333333,C,True,Medium,110
Anika,Male,5,83.0,70.0,58.0,211,70.33333333333333,C,True,Medium,110
Aryan,Male,3,84.0,51.0,76.0,211,70.33333333333333,C,True,Medium,110
Krishna,Female,9,87.0,94.0,30.0,211,70.33333333333333,C,True,Medium,110
Diya,Female,11,93.0,88.0,29.0,210,70.0,C,True,Medium,115
Vihaan,Female,8,98.0,53.0,59.0,210,70.0,C,True,Medium,115
Aryan,Male,12,46.0,84.0,80.0,210,70.0,C,True,Medium,115
Aarav,Female,8,78.0,71.0,61.0,210,70.0,C,True,Medium,115
Advika,Male,9,74.0,64.0,72.0,210,70.0,C,True,Medium,115
Ananya,Female,3,63.0,91.0,55.0,209,69.66666666666667,C,True,Medium,120
Reyansh,Female,7,43.0,85.0,81.0,209,69.66666666666667,C,True,Medium,120
Reyansh,Male,7,60.0,90.0,59.0,209,69.66666666666667,C,True,Medium,120
Krishna,Female,3,76.0,87.0,46.0,209,69.66666666666667,C,True,Medium,120
Aditi,Female,3,24.0,92.0,93.0,209,69.66666666666667,C,True,Medium,120
Aryan,Female,2,85.0,44.0,80.0,209,69.66666666666667,C,True,Medium,120
Aarav,Male,12,63.0,47.0,98.0,208,69.33333333333333,C,True,Medium,126
Vihaan,Male,5,100.0,67.0,41.0,208,69.33333333333333,C,True,Medium,126
Diya,1,6,27.0,91.0,90.0,208,69.33333333333333,C,True,Medium,126
Aditi,Male,12,90.0,90.0,28.0,208,69.33333333333333,C,True,Medium,126
Saanvi,Male,12,93.0,60.0,55.0,208,69.33333333333333,C,True,Medium,126
Saanvi,Female,9,88.0,72.0,47.0,207,69.0,C,True,Medium,132
Aryan,Female,4,87.0,43.0,77.0,207,69.0,C,True,Medium,132
Anika,Female,9,93.0,84.0,30.0,207,69.0,C,True,Medium,132
Anika,Male,5,43.0,98.0,66.0,207,69.0,C,True,Medium,132
Vihaan,Female,11,90.0,50.0,67.0,207,69.0,C,True,Medium,132
Krishna,Male,1,51.0,91.0,65.0,207,69.0,C,True,Medium,132
Arjun,Female,11,71.0,37.0,99.0,207,69.0,C,True,Medium,132
Advika,Male,11,74.0,66.0,66.0,206,68.66666666666667,C,True,Medium,136
Arjun,Male,1,69.0,85.0,52.0,206,68.66666666666667,C,True,Medium,136
Myra,Male,12,63.0,48.0,94.0,205,68.33333333333333,C,True,Medium,139
Saanvi,Female,12,27.0,84.0,94.0,205,68.33333333333333,C,True,Medium,139
Aarav,Male,5,70.0,82.0,53.0,205,68.33333333333333,C,True,Medium,139
Anika,Male,5,35.0,97.0,73.0,205,68.33333333333333,C,True,Medium,139
Ishaan,Female,5,80.0,82.0,42.0,204,68.0,C,True,Medium,144
Arjun,Male,6,65.0,88.0,51.0,204,68.0,C,True,Medium,144
Krishna,Male,9,83.0,79.0,42.0,204,68.0,C,True,Medium,144
Saanvi,Female,3,57.0,56.0,91.0,204,68.0,C,True,Medium,144
Arjun,Male,12,39.0,86.0,79.0,204,68.0,C,True,Medium,144
Aryan,Female,4,25.0,96.0,82.0,203,67.66666666666667,C,True,Medium,149
Navya,Male,9,94.0,59.0,50.0,203,67.66666666666667,C,True,Medium,149
Advika,Male,2,87.0,30.0,86.0,203,67.66666666666667,C,True,Medium,149
Aditi,Male,9,79.0,27.0,97.0,203,67.66666666666667,C,True,Medium,149
Aryan,Male,4,81.0,40.0,82.0,203,67.66666666666667,C,True,Medium,149
Aarav,Male,3,77.0,84.0,41.0,202,67.33333333333333,C,True,Medium,154
Isha,Male,4,79.0,84.0,39.0,202,67.33333333333333,C,True,Medium,154
Reyansh,Female,4,81.0,49.0,72.0,202,67.33333333333333,C,True,Medium,154
Ananya,Female,12,82.0,90.0,30.0,202,67.33333333333333,C,True,Medium,154
Aarav,Male,5,96.0,8.0,98.0,202,67.33333333333333,C,True,Medium,154
Kabir,Female,6,44.0,81.0,76.0,201,67.0,C,True,Medium,158
Ananya,Female,12,56.0,56.0,89.0,201,67.0,C,True,Medium,158
Navya,Female,1,70.0,81.0,50.0,201,67.0,C,True,Medium,158
Rohan,Female,3,88.0,37.0,76.0,201,67.0,C,True,Medium,158
Myra,Male,12,70.0,99.0,31.0,200,66.66666666666667,C,True,Medium,161
Zara,Female,6,28.0,76.0,95.0,199,66.33333333333333,C,True,Medium,162
Rohan,Male,1,19.0,97.0,82.0,198,66.0,C,True,Medium,165
Aryan,Male,3,69.0,41.0,88.0,198,66.0,C,True,Medium,165
Aryan,1,6,81.0,79.0,38.0,198,66.0,C,True,Medium,165
Ishaan,Male,8,81.0,44.0,73.0,198,66.0,C,True,Medium,165
Zara,Male,2,84.0,44.0,70.0,198,66.0,C,True,Medium,165
Navya,Female,1,88.0,82.0,28.0,198,66.0,C,True,Medium,165
Navya,Male,7,28.0,76.0,93.0,197,65.66666666666667,C,True,Medium,172
Shaurya,Male,5,67.0,44.0,86.0,197,65.66666666666667,C,True,Medium,172
Advika,Male,3,88.0,79.0,30.0,197,65.66666666666667,C,True,Medium,172
Isha,Male,4,63.0,78.0,56.0,197,65.66666666666667,C,True,Medium,172
Shaurya,Male,6,56.0,67.0,74.0,197,65.66666666666667,C,True,Medium,172
Shaurya,Female,8,91.0,18.0,88.0,197,65.66666666666667,C,True,Medium,172
Ishaan,Female,4,94.0,16.0,87.0,197,65.66666666666667,C,True,Medium,172
Kabir,1,4,99.0,13.0,84.0,196,65.33333333333333,C,True,Medium,177
Rohan,Female,2,88.0,42.0,66.0,196,65.33333333333333,C,True,Medium,177
Reyansh,1,9,44.0,73.0,79.0,196,65.33333333333333,C,True,Medium,177
Kabir,Female,3,27.0,78.0,90.0,195,65.0,C,True,Medium,179
Kabir,Female,8,62.0,90.0,43.0,195,65.0,C,True,Medium,179
Zara,1,1,74.0,69.0,51.0,194,64.66666666666667,C,True,Medium,181
Aarav,Male,5,53.0,68.0,73.0,194,64.66666666666667,C,True,Medium,181
Anika,Female,2,77.0,43.0,73.0,193,64.33333333333333,C,True,Medium,184
Ananya,Male,10,39.0,96.0,58.0,193,64.33333333333333,C,True,Medium,184
Saanvi,Female,4,5.0,89.0,99.0,193,64.33333333333333,C,True,Medium,184
Anika,Female,9,100.0,29.0,64.0,193,64.33333333333333,C,True,Medium,184
Ishaan,Female,11,20.0,95.0,77.0,192,64.0,C,True,Medium,189
Aryan,Male,1,48.0,47.0,97.0,192,64.0,C,True,Medium,189
Diya,Female,1,22.0,79.0,91.0,192,64.0,C,True,Medium,189
Navya,Female,9,61.0,35.0,96.0,192,64.0,C,True,Medium,189
Zara,Male,11,56.0,44.0,92.0,192,64.0,C,True,Medium,189
Anika,Male,12,36.0,85.0,71.0,192,64.0,C,True,Medium,189
Ananya,Male,7,88.0,15.0,88.0,191,63.66666666666666,C,True,Medium,195
Myra,Male,4,24.0,75.0,92.0,191,63.66666666666666,C,True,Medium,195
Ishaan,1,11,48.0,76.0,67.0,191,63.66666666666666,C,True,Medium,195
Shaurya,Male,3,79.0,80.0,32.0,191,63.66666666666666,C,True,Medium,195
Navya,Male,11,24.0,82.0,85.0,191,63.66666666666666,C,True,Medium,195
Kabir,Male,10,49.0,75.0,66.0,190,63.333333333333336,C,True,Medium,199
Advika,1,4,47.0,96.0,47.0,190,63.333333333333336,C,True,Medium,199
Navya,Male,7,40.0,68.0,82.0,190,63.333333333333336,C,True,Medium,199
Aarav,Female,8,99.0,50.0,40.0,189,63.0,C,True,Medium,203
Rohan,Male,7,28.0,84.0,77.0,189,63.0,C,True,Medium,203
Saanvi,1,4,21.0,69.0,99.0,189,63.0,C,True,Medium,203
Diya,Male,7,79.0,87.0,23.0,189,63.0,C,True,Medium,203
Advika,1,5,87.0,75.0,27.0,189,63.0,C,True,Medium,203
Shaurya,Male,9,97.0,49.0,43.0,189,63.0,C,True,Medium,203
Ishaan,Male,10,68.0,88.0,32.0,188,62.66666666666666,C,True,Medium,209
Advika,Male,8,86.0,16.0,86.0,188,62.66666666666666,C,True,Medium,209
Diya,Male,7,1.0,92.0,95.0,188,62.66666666666666,C,True,Medium,209
Ananya,Male,6,68.0,45.0,75.0,188,62.66666666666666,C,True,Medium,209
Aditi,Female,12,78.0,21.0,89.0,188,62.66666666666666,C,True,Medium,209
Saanvi,Male,5,31.0,98.0,59.0,188,62.66666666666666,C,True,Medium,209
Vihaan,Male,8,52.0,98.0,37.0,187,62.333333333333336,C,True,Medium,215
Navya,Male,2,91.0,62.0,34.0,187,62.333333333333336,C,True,Medium,215
Isha,Female,10,68.0,73.0,46.0,187,62.333333333333336,C,True,Medium,215
Rohan,Male,6,60.0,56.0,71.0,187,62.333333333333336,C,True,Medium,215
Aditi,Male,7,66.0,82.0,39.0,187,62.333333333333336,C,True,Medium,215
Shaurya,Female,3,46.0,51.0,89.0,186,62.0,C,True,Medium,220
Arjun,Male,7,93.0,69.0,24.0,186,62.0,C,True,Medium,220
Aarav,Female,6,31.0,56.0,99.0,186,62.0,C,True,Medium,220
Isha,Male,9,91.0,73.0,22.0,186,62.0,C,True,Medium,220
Vihaan,Female,7,8.0,79.0,99.0,186,62.0,C,True,Medium,220
Aarav,Male,12,80.0,27.0,79.0,186,62.0,C,True,Medium,220
Rohan,Male,2,90.0,41.0,54.0,185,61.66666666666666,C,True,Medium,225
Shaurya,1,5,64.0,95.0,26.0,185,61.66666666666666,C,True,Medium,225
Arjun,1,8,66.0,63.0,56.0,185,61.66666666666666,C,True,Medium,225
Ishaan,Female,11,83.0,66.0,36.0,185,61.66666666666666,C,True,Medium,225
Navya,Male,11,47.0,63.0,74.0,184,61.333333333333336,C,True,Medium,229
Aryan,Male,10,77.0,21.0,86.0,184,61.333333333333336,C,True,Medium,229
Myra,1,8,35.0,91.0,58.0,184,61.333333333333336,C,True,Medium,229
Shaurya,Male,8,54.0,92.0,38.0,184,61.333333333333336,C,True,Medium,229
Vihaan,Male,10,86.0,14.0,83.0,183,61.0,C,True,Medium,235
Anika,Male,9,88.0,23.0,72.0,183,61.0,C,True,Medium,235
Myra,Male,2,100.0,82.0,1.0,183,61.0,C,True,Medium,235
Navya,Male,12,75.0,22.0,86.0,183,61.0,C,True,Medium,235
Shaurya,Female,4,38.0,48.0,97.0,183,61.0,C,True,Medium,235
Myra,Female,2,17.0,92.0,74.0,183,61.0,C,True,Medium,235
Shaurya,Male,11,31.0,53.0,99.0,183,61.0,C,True,Medium,235
Kabir,Female,10,77.0,31.0,75.0,183,61.0,C,True,Medium,235
Advika,Female,5,91.0,70.0,21.0,182,60.66666666666666,C,True,Medium,242
Zara,Male,11,100.0,38.0,44.0,182,60.66666666666666,C,True,Medium,242
Advika,Male,4,21.0,61.0,100.0,182,60.66666666666666,C,True,Medium,242
Ananya,Female,5,99.0,2.0,81.0,182,60.66666666666666,C,True,Medium,242
Saanvi,Female,5,93.0,47.0,42.0,182,60.66666666666666,C,True,Medium,242
Ananya,Male,10,55.0,67.0,59.0,181,60.333333333333336,C,True,Medium,247
Zara,Male,5,93.0,20.0,68.0,181,60.333333333333336,C,True,Medium,247
Navya,Male,1,63.0,56.0,62.0,181,60.333333333333336,C,True,Medium,247
Aditi,Female,4,5.0,97.0,79.0,181,60.333333333333336,C,True,Medium,247
Ishaan,Male,9,82.0,90.0,9.0,181,60.333333333333336,C,True,Medium,247
Aditi,Female,2,74.0,52.0,54.0,180,60.0,C,True,Medium,252
Reyansh,Female,5,66.0,63.0,51.0,180,60.0,C,True,Medium,252
Saanvi,1,2,54.0,30.0,96.0,180,60.0,C,True,Medium,252
Reyansh,Male,4,53.0,68.0,59.0,180,60.0,C,True,Medium,252
Myra,Male,11,90.0,17.0,73.0,180,60.0,C,True,Medium,252
Ananya,Male,11,99.0,75.0,6.0,180,60.0,C,True,Medium,252
Reyansh,Male,6,66.0,58.0,55.0,179,59.66666666666666,D,True,Medium,260
Ishaan,Male,12,84.0,71.0,24.0,179,59.66666666666666,D,True,Medium,260
Myra,1,5,100.0,25.0,54.0,179,59.66666666666666,D,True,Medium,260
Shaurya,Male,7,57.0,59.0,63.0,179,59.66666666666666,D,True,Medium,260
Advika,Female,9,23.0,64.0,92.0,179,59.66666666666666,D,True,Medium,260
Vihaan,Male,7,51.0,97.0,31.0,179,59.66666666666666,D,True,Medium,260
Anika,Female,7,54.0,65.0,60.0,179,59.66666666666666,D,True,Medium,260
Shaurya,Female,10,95.0,60.0,24.0,179,59.66666666666666,D,True,Medium,260
Kabir,Male,8,89.0,8.0,82.0,179,59.66666666666666,D,True,Medium,260
Zara,Male,12,90.0,34.0,54.0,178,59.333333333333336,D,True,Medium,266
Navya,Male,2,49.0,34.0,95.0,178,59.333333333333336,D,True,Medium,266
Isha,Female,4,11.0,84.0,83.0,178,59.333333333333336,D,True,Medium,266
Advika,Male,2,82.0,24.0,71.0,177,59.0,D,True,Medium,271
Kabir,Male,6,37.0,83.0,57.0,177,59.0,D,True,Medium,271
Aditi,Female,10,74.0,78.0,25.0,177,59.0,D,True,Medium,271
Rohan,Male,7,74.0,81.0,22.0,177,59.0,D,True,Medium,271
Ishaan,Female,1,88.0,62.0,27.0,177,59.0,D,True,Medium,271
Vihaan,Male,5,6.0,84.0,87.0,177,59.0,D,True,Medium,271
Aarav,Female,4,39.0,84.0,54.0,177,59.0,D,True,Medium,271
Kabir,Female,9,46.0,48.0,82.0,176,58.66666666666666,D,True,Medium,277
Reyansh,Female,7,78.0,33.0,65.0,176,58.66666666666666,D,True,Medium,277
Vihaan,Female,3,90.0,33.0,53.0,176,58.66666666666666,D,True,Medium,277
Aditi,Male,6,38.0,93.0,45.0,176,58.66666666666666,D,True,Medium,277
Ishaan,Male,11,85.0,13.0,78.0,176,58.66666666666666,D,True,Medium,277
Arjun,Female,12,59.0,80.0,36.0,175,58.333333333333336,D,True,Medium,282
Shaurya,Male,6,84.0,72.0,19.0,175,58.333333333333336,D,True,Medium,282
Diya,Male,11,100.0,35.0,40.0,175,58.333333333333336,D,True,Medium,282
Reyansh,Male,9,87.0,80.0,8.0,175,58.333333333333336,D,True,Medium,282
Kabir,Female,10,24.0,51.0,100.0,175,58.333333333333336,D,True,Medium,282
Advika,Male,5,37.0,60.0,77.0,174,58.0,D,True,Medium,288
Rohan,Male,2,63.0,24.0,87.0,174,58.0,D,True,Medium,288
Navya,Male,10,25.0,66.0,83.0,174,58.0,D,True,Medium,288
Aarav,Male,9,36.0,52.0,86.0,174,58.0,D,True,Medium,288
Aarav,Female,2,66.0,97.0,11.0,174,58.0,D,True,Medium,288
Anika,Female,5,63.0,37.0,74.0,174,58.0,D,True,Medium,288
Saanvi,Female,3,99.0,4.0,71.0,174,58.0,D,True,Medium,288
Ishaan,1,7,68.0,34.0,72.0,174,58.0,D,True,Medium,288
Saanvi,1,2,77.0,23.0,73.0,173,57.66666666666666,D,True,Medium,297
Rohan,Male,5,15.0,71.0,87.0,173,57.66666666666666,D,True,Medium,297
Rohan,Male,9,39.0,88.0,46.0,173,57.66666666666666,D,True,Medium,297
Ananya,Male,6,67.0,45.0,61.0,173,57.66666666666666,D,True,Medium,297
Saanvi,Male,10,89.0,58.0,26.0,173,57.66666666666666,D,True,Medium,297
Myra,Male,1,67.0,35.0,71.0,173,57.66666666666666,D,True,Medium,297
Zara,Male,5,45.0,72.0,56.0,173,57.66666666666666,D,True,Medium,297
Vihaan,1,10,45.0,34.0,94.0,173,57.66666666666666,D,True,Medium,297
Ananya,Female,3,40.0,89.0,44.0,173,57.66666666666666,D,True,Medium,297
Shaurya,Female,11,97.0,51.0,24.0,172,57.333333333333336,D,True,Medium,306
Advika,1,8,35.0,39.0,98.0,172,57.333333333333336,D,True,Medium,306
Navya,1,4,78.0,73.0,21.0,172,57.333333333333336,D,True,Medium,306
Krishna,Female,10,24.0,53.0,95.0,172,57.333333333333336,D,True,Medium,306
Navya,Male,1,47.0,68.0,57.0,172,57.333333333333336,D,True,Medium,306
Aryan,Female,12,28.0,72.0,72.0,172,57.333333333333336,D,True,Medium,306
Advika,Male,9,46.0,54.0,72.0,172,57.333333333333336,D,True,Medium,306
Zara,1,3,98.0,53.0,21.0,172,57.333333333333336,D,True,Medium,306
Rohan,Female,10,71.0,55.0,46.0,172,57.333333333333336,D,True,Medium,306
Ishaan,Female,4,41.0,61.0,69.0,171,57.0,D,True,Medium,314
Myra,Female,1,31.0,73.0,67.0,171,57.0,D,True,Medium,314
Ananya,Female,10,89.0,27.0,55.0,171,57.0,D,True,Medium,314
Ishaan,Female,8,25.0,98.0,48.0,171,57.0,D,True,Medium,314
Advika,Male,6,26.0,70.0,75.0,171,57.0,D,True,Medium,314
Rohan,1,7,60.0,94.0,17.0,171,57.0,D,True,Medium,314
Ananya,Male,3,90.0,32.0,49.0,171,57.0,D,True,Medium,314
Krishna,Female,9,31.0,68.0,72.0,171,57.0,D,True,Medium,314
Aditi,Female,8,53.0,90.0,27.0,170,56.66666666666666,D,True,Medium,322
Navya,Female,1,77.0,5.0,88.0,170,56.66666666666666,D,True,Medium,322
Advika,1,5,76.0,57.0,37.0,170,56.66666666666666,D,True,Medium,322
Kabir,Female,2,46.0,57.0,67.0,170,56.66666666666666,D,True,Medium,322
Aarav,Male,12,69.0,75.0,26.0,170,56.66666666666666,D,True,Medium,322
Krishna,Female,11,69.0,21.0,80.0,170,56.66666666666666,D,True,Medium,322
Isha,Male,4,33.0,72.0,65.0,170,56.66666666666666,D,True,Medium,322
Aditi,Female,9,71.0,2.0,96.0,169,56.333333333333336,D,True,Medium,328
Ishaan,1,10,77.0,87.0,5.0,169,56.333333333333336,D,True,Medium,328
Krishna,1,3,64.0,68.0,37.0,169,56.333333333333336,D,True,Medium,328
Aryan,Male,3,81.0,68.0,20.0,169,56.333333333333336,D,True,Medium,328
Advika,Female,11,75.0,25.0,69.0,169,56.333333333333336,D,True,Medium,328
Myra,Male,3,22.0,81.0,66.0,169,56.333333333333336,D,True,Medium,328
Shaurya,Female,6,84.0,57.0,27.0,168,56.0,D,True,Medium,336
Anika,Male,7,23.0,75.0,70.0,168,56.0,D,True,Medium,336
Anika,Female,8,57.0,69.0,42.0,168,56.0,D,True,Medium,336
Krishna,Male,11,59.0,65.0,44.0,168,56.0,D,True,Medium,336
Advika,Female,1,25.0,70.0,73.0,168,56.0,D,True,Medium,336
Aryan,Male,3,24.0,72.0,72.0,168,56.0,D,True,Medium,336
Krishna,Male,6,45.0,99.0,24.0,168,56.0,D,True,Medium,336
Aditi,Male,9,15.0,53.0,100.0,168,56.0,D,True,Medium,336
Aditi,Female,10,89.0,79.0,0.0,168,56.0,D,True,Medium,336
Reyansh,Male,4,30.0,55.0,82.0,167,55.66666666666666,D,True,Medium,344
Isha,Male,3,14.0,61.0,92.0,167,55.66666666666666,D,True,Medium,344
Shaurya,Female,1,55.0,63.0,49.0,167,55.66666666666666,D,True,Medium,344
Anika,Female,4,74.0,42.0,51.0,167,55.66666666666666,D,True,Medium,344
Ishaan,Male,11,100.0,63.0,4.0,167,55.66666666666666,D,True,Medium,344
Isha,Female,2,57.0,56.0,54.0,167,55.66666666666666,D,True,Medium,344
Zara,Female,4,37.0,95.0,35.0,167,55.66666666666666,D,True,Medium,344
